time,temperature,kinetic_energy
253,732.261,4367.22
254,735.972,4389.36
255,740.059,4413.73
256,735.622,4387.27
257,740.196,4414.55
258,744.864,4442.39
259,740.574,4416.8
260,745.053,4443.52
261,749.332,4469.04
262,744.345,4439.3
263,748.061,4461.46
264,751.489,4481.9
265,745.577,4446.65
266,748.407,4463.52
267,750.984,4478.89
268,744.307,4439.07
269,746.442,4451.8
270,748.419,4463.6
271,741.303,4421.15
272,743.061,4431.64
273,744.81,4442.07
274,737.732,4399.86
275,739.701,4411.6
276,741.938,4424.94
277,735.673,4387.58
278,738.628,4405.2
279,741.981,4425.2
280,736.813,4394.37
281,740.726,4417.71
282,744.776,4441.86
283,739.928,4412.95
284,743.93,4436.82
285,747.879,4460.37
286,742.819,4430.2
287,746.75,4453.64
288,750.795,4477.77
289,745.961,4448.93
290,750.336,4475.03
291,754.914,4502.33
292,750.528,4476.17
293,755.362,4505
294,760.258,4534.2
295,755.902,4508.22
296,760.677,4536.7
297,765.324,4564.42
298,760.458,4535.39
299,764.701,4560.7
300,768.755,4584.87
301,763.239,4551.98
302,766.961,4574.18
303,770.595,4595.85
304,764.738,4560.92
305,768.25,4581.87
306,771.741,4602.68
307,765.756,4566.99
308,769.181,4587.42
309,772.608,4607.86
310,766.583,4571.93
311,770.042,4592.55
312,773.555,4613.51
313,767.617,4578.09
314,771.141,4599.11
315,774.608,4619.79
316,768.437,4582.98
317,771.567,4601.65
318,774.497,4619.12
319,767.743,4578.84
320,770.341,4594.34
321,772.904,4609.62
322,766.054,4568.77
323,768.778,4585.01
324,771.683,4602.34
325,765.326,4564.42
326,768.542,4583.61
327,771.85,4603.34
328,765.705,4566.69
329,768.896,4585.72
330,771.913,4603.71
331,765.234,4563.88
332,767.697,4578.57
333,769.878,4591.58
334,762.412,4547.05
335,764.159,4557.47
336,765.856,4567.59
337,758.316,4522.62
338,760.287,4534.38
339,762.593,4548.13
340,756.052,4509.12
341,759.21,4527.95
342,762.839,4549.6
343,757.613,4518.42
344,761.989,4544.52
345,766.606,4572.06
346,761.954,4544.32
347,766.587,4571.95
348,771.053,4598.58
349,765.814,4567.34
350,769.716,4590.61
351,773.383,4612.48
352,767.405,4576.83
353,770.838,4597.3
354,774.328,4618.12
355,768.431,4582.95
356,772.156,4605.16
357,776.012,4628.16
358,770.409,4594.74
359,774.368,4618.35
360,778.36,4642.16
361,772.79,4608.94
362,776.833,4633.06
363,780.949,4657.6
364,775.484,4625.01
365,779.679,4650.03
366,783.895,4675.17
367,778.394,4642.37
368,782.541,4667.1
369,786.664,4691.69
370,780.998,4657.9
371,785.023,4681.9
372,788.997,4705.6
373,783.072,4670.26
374,786.777,4692.36
375,790.299,4713.37
376,783.779,4674.48
377,786.841,4692.74
378,789.731,4709.98
379,782.693,4668
380,785.354,4683.87
381,787.938,4699.28
382,780.628,4655.69
383,782.876,4669.1
384,784.909,4681.22
385,777.044,4634.31
386,778.733,4644.39
387,780.414,4654.41
388,772.591,4607.76
389,774.57,4619.56
390,776.858,4633.2
391,769.973,4592.14
392,773.046,4610.47
393,776.61,4631.72
394,771.121,4598.99
395,775.647,4625.98
396,780.587,4655.44
397,776.132,4628.88
398,781.354,4660.02
399,786.446,4690.39
400,781.488,4660.82
401,785.908,4687.18
402,789.994,4711.55
403,783.965,4675.59
404,787.485,4696.59
405,790.783,4716.25
406,784.004,4675.82
407,786.755,4692.23
408,789.228,4706.98
409,781.655,4661.81
410,783.666,4673.8
411,785.602,4685.35
412,777.852,4639.13
413,779.914,4651.43
414,782.165,4664.86
415,774.977,4621.98
416,777.631,4637.82
417,780.5,4654.93
418,773.946,4615.84
419,777.198,4635.23
420,780.685,4656.03
421,774.784,4620.84
422,778.743,4644.45
423,782.933,4669.44
424,777.592,4637.58
425,781.961,4663.64
426,786.278,4689.38
427,780.673,4655.96
428,784.54,4679.02
429,788.118,4700.36
430,781.62,4661.6
431,784.625,4679.53
432,787.488,4696.6
433,780.581,4655.41
434,783.564,4673.2
435,786.852,4692.81
436,780.768,4656.52
437,784.811,4680.64
438,789.201,4706.82
439,784.011,4675.87
440,788.721,4703.95
441,793.447,4732.14
442,788.2,4700.85
443,792.695,4727.66
444,797.049,4753.62
445,791.289,4719.27
446,795.34,4743.43
447,799.3,4767.05
448,793.175,4730.52
449,796.951,4753.04
450,800.625,4774.95
451,794.092,4735.99
452,797.29,4755.06
453,800.113,4771.9
454,792.446,4726.17
455,794.212,4736.7
456,795.406,4743.83
457,786.161,4688.69
458,786.335,4689.72
459,786.179,4688.8
460,776.147,4628.97
461,775.799,4626.89
462,775.622,4625.83
463,766.289,4570.17
464,766.93,4573.99
465,768.214,4581.65
466,760.896,4538.01
467,763.786,4555.24
468,767.597,4577.97
469,762.917,4550.06
470,768.373,4582.6
471,774.429,4618.72
472,771.288,4599.98
473,777.73,4638.41
474,784.038,4676.03
475,780.308,4653.78
476,785.868,4686.94
477,791.008,4717.6
478,785.886,4687.05
479,790.219,4712.89
480,794.236,4736.85
481,788.056,4699.99
482,791.474,4720.37
483,794.617,4739.12
484,787.566,4697.07
485,790.106,4712.22
486,792.377,4725.76
487,784.554,4679.11
488,786.366,4689.91
489,788.046,4699.93
490,779.892,4651.3
491,781.461,4660.66
492,783.067,4670.24
493,775.076,4622.58
494,776.796,4632.83
495,778.573,4643.43
496,770.791,4597.02
497,772.526,4607.37
498,774.186,4617.27
499,766.26,4570
500,767.702,4578.6
501,769.104,4586.96
502,761.162,4539.59
503,762.718,4548.87
504,764.513,4559.58
505,757.312,4516.63
506,759.709,4530.93
507,762.428,4547.14
508,756.17,4509.82
509,759.401,4529.09
510,762.868,4549.77
511,757.273,4516.4
512,761.154,4539.54
513,765.283,4564.17
514,760.325,4534.6
515,764.901,4561.89
516,769.651,4590.22
517,765.03,4562.66
518,769.728,4590.68
519,774.229,4617.53
520,768.919,4585.85
521,772.756,4608.74
522,776.29,4629.81
523,770.037,4592.53
524,773.152,4611.1
525,776.212,4629.35
526,769.734,4590.72
527,772.791,4608.95
528,775.86,4627.25
529,769.351,4588.43
530,772.241,4605.67
531,774.972,4621.96
532,767.989,4580.31
533,770.263,4593.87
534,772.313,4606.1
535,764.699,4560.68
536,766.33,4570.42
537,767.851,4579.49
538,760.003,4532.68
539,761.613,4542.28
540,763.508,4553.59
541,756.552,4512.1
542,759.385,4528.99
543,762.805,4549.39
544,757.5,4517.75
545,761.919,4544.11
546,766.695,4572.59
547,762.313,4546.46
548,767.363,4576.58
549,772.427,4606.78
550,767.953,4580.09
551,772.851,4609.31
552,777.661,4637.99
553,772.757,4608.74
554,777.238,4635.47
555,781.501,4660.9
556,775.822,4627.03
557,779.44,4648.61
558,782.721,4668.17
559,776.003,4628.1
560,778.646,4643.87
561,781.086,4658.42
562,773.776,4614.82
563,776.053,4628.4
564,778.429,4642.58
565,771.431,4600.84
566,774.292,4617.9
567,777.551,4637.34
568,771.681,4602.33
569,775.813,4626.97
570,780.386,4654.25
571,775.678,4626.17
572,780.842,4656.97
573,786.161,4688.69
574,781.744,4662.34
575,786.98,4693.57
576,792.064,4723.89
577,787.035,4693.9
578,791.543,4720.79
579,795.687,4745.5
580,789.468,4708.41
581,792.709,4727.74
582,795.531,4744.57
583,788.081,4700.14
584,790.289,4713.31
585,792.4,4725.9
586,784.679,4679.85
587,786.884,4693
588,789.214,4706.89
589,781.829,4662.85
590,784.216,4677.09
591,786.535,4690.92
592,778.993,4645.94
593,781.042,4658.16
594,783.02,4669.95
595,775.33,4624.09
596,777.361,4636.2
597,779.547,4649.24
598,772.332,4606.21
599,774.911,4621.59
600,777.693,4638.18
601,771.019,4598.38
602,773.859,4615.32
603,776.506,4631.1
604,769.26,4587.89
605,771.095,4598.84
606,772.533,4607.41
607,764.248,4558
608,765.315,4564.36
609,766.541,4571.67
610,758.788,4525.43
611,760.839,4537.66
612,763.456,4553.27
613,757.332,4516.75
614,760.944,4538.29
615,764.941,4562.13
616,759.882,4531.96
617,764.294,4558.27
618,768.806,4585.18
619,763.915,4556.01
620,768.331,4582.35
621,772.623,4607.94
622,767.259,4575.96
623,771.165,4599.25
624,774.926,4621.68
625,769.058,4586.68
626,772.627,4607.97
627,776.192,4629.23
628,770.219,4593.61
629,773.782,4614.86
630,777.378,4636.31
631,771.445,4600.92
632,775.129,4622.89
633,778.95,4645.68
634,773.347,4612.26
635,777.535,4637.24
636,781.946,4663.55
637,776.85,4633.16
638,781.468,4660.7
639,786.055,4688.05
640,780.737,4656.34
641,784.897,4681.15
642,788.766,4704.23
643,782.515,4666.95
644,785.708,4685.99
645,788.593,4703.19
646,781.389,4660.23
647,783.642,4673.66
648,785.608,4685.39
649,777.588,4637.56
650,779.025,4646.13
651,780.298,4653.72
652,771.888,4603.56
653,773.083,4610.69
654,774.411,4618.61
655,766.462,4571.2
656,768.225,4581.72
657,770.22,4593.62
658,762.961,4550.32
659,765.15,4563.38
660,767.321,4576.33
661,760.075,4533.11
662,762.11,4545.25
663,764.17,4557.53
664,757.04,4515.01
665,759.356,4528.82
666,761.914,4544.08
667,755.486,4505.74
668,758.56,4524.08
669,761.902,4544
670,756.181,4509.89
671,759.781,4531.36
672,763.326,4552.5
673,757.343,4516.82
674,760.215,4533.95
675,762.574,4548.02
676,755.105,4503.47
677,756.317,4510.69
678,757.063,4515.15
679,748.335,4463.09
680,748.526,4464.23
681,748.688,4465.2
682,740.007,4413.43
683,740.53,4416.54
684,741.445,4422
685,734.035,4377.8
686,736.054,4389.85
687,738.815,4406.32
688,733.606,4375.25
689,738.053,4401.77
690,743.389,4433.6
691,740.601,4416.96
692,747.318,4457.03
693,754.437,4499.48
694,752.513,4488.01
695,759.513,4529.76
696,766.065,4568.83
697,762.558,4547.92
698,767.535,4577.6
699,771.583,4601.75
700,765.224,4563.82
701,767.372,4576.63
702,768.705,4584.58
703,759.992,4532.62
704,760.124,4533.4
705,759.965,4532.46
706,750.548,4476.29
707,750.432,4475.6
708,750.648,4476.89
709,742.343,4427.36
710,743.621,4434.98
711,745.549,4446.48
712,739.168,4408.42
713,742.191,4426.45
714,745.558,4446.53
715,740.129,4414.15
716,743.56,4434.62
717,746.817,4454.04
718,740.86,4418.51
719,743.567,4434.66
720,746.077,4449.63
721,739.556,4410.73
722,741.967,4425.11
723,744.513,4440.3
724,738.329,4403.41
725,741.177,4420.4
726,744.103,4437.85
727,738.087,4401.97
728,740.793,4418.11
729,743.285,4432.98
730,736.654,4393.43
731,738.649,4405.32
732,740.48,4416.24
733,733.402,4374.03
734,735.112,4384.23
735,736.924,4395.03
736,730.18,4354.82
737,732.425,4368.2
738,734.972,4383.39
739,729.058,4348.12
740,731.974,4365.52
741,734.876,4382.82
742,728.864,4346.97
743,731.198,4360.89
744,733.132,4372.42
745,726.028,4330.05
746,727.329,4337.81
747,728.598,4345.38
748,721.482,4302.94
749,723.303,4313.8
750,725.646,4327.77
751,720.009,4294.16
752,723.374,4314.23
753,727.13,4336.63
754,722.549,4309.3
755,726.597,4333.44
756,730.625,4357.47
757,725.908,4329.34
758,729.667,4351.76
759,733.297,4373.41
760,728.107,4342.45
761,731.439,4362.32
762,734.607,4381.22
763,728.829,4346.76
764,731.419,4362.2
765,733.621,4375.34
766,726.697,4334.04
767,727.965,4341.6
768,728.807,4346.62
769,720.733,4298.48
770,720.995,4300.04
771,721.215,4301.35
772,713.165,4253.34
773,713.844,4257.39
774,715.004,4264.31
775,708.403,4224.94
776,710.598,4238.03
777,713.192,4253.5
778,707.71,4220.8
779,710.49,4237.38
780,713.118,4253.05
781,707.214,4217.84
782,709.292,4230.24
783,711.174,4241.46
784,704.747,4203.14
785,706.61,4214.24
786,708.718,4226.82
787,703.018,4192.82
788,705.96,4210.37
789,709.441,4231.13
790,705.237,4206.06
791,709.707,4232.72
792,714.579,4261.77
793,711.383,4242.71
794,716.602,4273.84
795,721.8,4304.84
796,718.365,4284.35
797,723.125,4312.74
798,727.597,4339.41
799,723.177,4313.05
800,727.01,4335.91
801,730.576,4357.18
802,725.263,4325.49
803,728.342,4343.85
804,731.249,4361.19
805,725.375,4326.16
806,728.018,4341.92
807,730.605,4357.35
808,724.534,4321.14
809,727.05,4336.15
810,729.57,4351.18
811,723.494,4314.94
812,726.023,4330.02
813,728.619,4345.5
814,722.733,4310.4
815,725.567,4327.3
816,728.604,4345.41
817,723.251,4313.49
818,726.63,4333.64
819,730.105,4354.37
820,724.94,4323.56
821,728.258,4343.35
822,731.404,4362.12
823,725.708,4328.14
824,728.471,4344.62
825,731.155,4360.63
826,725.184,4325.02
827,727.842,4340.87
828,730.492,4356.68
829,724.42,4320.46
830,726.744,4334.32
831,728.795,4346.56
832,721.962,4305.8
833,723.427,4314.54
834,724.738,4322.36
835,717.528,4279.36
836,718.91,4287.6
837,720.534,4297.29
838,714.06,4258.68
839,716.338,4272.26
840,718.978,4288.01
841,713.542,4255.59
842,716.744,4274.68
843,720.149,4294.99
844,715.245,4265.74
845,718.779,4286.82
846,722.296,4307.79
847,717.274,4277.84
848,720.605,4297.71
849,723.864,4317.14
850,718.568,4285.56
851,721.725,4304.39
852,724.911,4323.39
853,719.627,4291.88
854,722.897,4311.38
855,726.227,4331.24
856,721.021,4300.19
857,724.281,4319.63
858,727.418,4338.34
859,721.778,4304.71
860,724.412,4320.41
861,726.766,4334.45
862,720.315,4295.98
863,722.202,4307.23
864,724.031,4318.14
865,717.459,4278.94
866,719.598,4291.7
867,722.131,4306.81
868,716.671,4274.25
869,720.109,4294.75
870,723.929,4317.53
871,719.464,4290.9
872,723.536,4315.19
873,727.535,4339.04
874,722.766,4310.6
875,726.288,4331.6
876,729.527,4350.92
877,723.858,4317.11
878,726.498,4332.85
879,728.927,4347.34
880,722.632,4309.8
881,724.88,4323.2
882,727.244,4337.31
883,721.295,4301.83
884,724.24,4319.39
885,727.612,4339.5
886,722.796,4310.78
887,726.809,4334.71
888,730.945,4359.38
889,726.366,4332.07
890,730.181,4354.82
891,733.665,4375.6
892,728.044,4342.07
893,730.649,4357.62
894,732.838,4370.67
895,725.99,4329.83
896,727.492,4338.78
897,728.813,4346.66
898,721.48,4302.93
899,722.722,4310.34
900,724.057,4318.3
901,717.027,4276.37
902,718.577,4285.62
903,720.226,4295.45
904,713.511,4255.4
905,715.178,4265.34
906,716.781,4274.91
907,709.902,4233.88
908,711.122,4241.15
909,712.063,4246.77
910,704.444,4201.32
911,704.72,4202.97
912,704.725,4203
913,696.465,4153.74
914,696.209,4152.21
915,696.029,4151.14
916,688.138,4104.08
917,688.439,4105.87
918,689.107,4109.85
919,682.374,4069.7
920,683.769,4078.02
921,685.489,4088.28
922,679.743,4054.01
923,681.887,4066.79
924,684.179,4080.46
925,678.893,4048.94
926,681.409,4063.95
927,684.107,4080.03
928,679.35,4051.67
929,682.613,4071.12
930,686.33,4093.29
931,682.827,4072.4
932,687.658,4101.21
933,693.126,4133.82
934,691.272,4122.77
935,697.791,4161.65
936,704.67,4202.68
937,703.558,4196.04
938,710.528,4237.61
939,717.291,4277.95
940,715.282,4265.96
941,721.144,4300.93
942,726.444,4332.53
943,722.548,4309.3
944,726.518,4332.97
945,729.801,4352.56
946,723.766,4316.56
947,725.607,4327.54
948,726.763,4334.43
949,718.749,4286.64
950,718.689,4286.28
951,718.197,4283.35
952,709.074,4228.94
953,708.149,4223.42
954,707.239,4217.99
955,698.329,4164.86
956,697.734,4161.3
957,697.386,4159.23
958,689.367,4111.41
959,689.54,4112.44
960,689.994,4115.14
961,682.933,4073.03
962,683.935,4079.01
963,685.222,4086.69
964,679.066,4049.97
965,680.844,4060.57
966,682.837,4072.46
967,677.323,4039.57
968,679.549,4052.85
969,681.798,4066.26
970,676.331,4033.66
971,678.352,4045.71
972,680.197,4056.71
973,674.239,4021.18
974,675.707,4029.94
975,677.066,4038.04
976,670.83,4000.85
977,672.135,4008.64
978,673.53,4016.95
979,667.596,3981.56
980,669.334,3991.93
981,671.361,4004.02
982,666.286,3973.75
983,669,3989.94
984,672.084,4008.33
985,668.004,3983.99
986,671.552,4005.15
987,675.141,4026.56
988,671.06,4002.22
989,674.177,4020.81
990,676.872,4036.89
991,671.532,4005.04
992,673.254,4015.31
993,674.608,4023.38
994,668.239,3985.4
995,669.285,3991.64
996,670.433,3998.48
997,664.378,3962.37
998,665.986,3971.96
999,667.872,3983.21
